epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5343,2.15701,8.20364,0.00735,0.00047,0.00926,3e-05,1e-05,1.56112,9.42286,0.00639,0.00015,0.00015,0.00015
2,134.376,1.34753,7.0393,0.00403,0.00016,0.10833,0.00137,0.00043,1.00098,8.47158,0.00369,0.00029977,0.00029977,0.00029977
3,199.891,1.20591,6.11347,0.00339,0.00889,0.63024,0.07902,0.03257,0.9656,8.13168,0.00357,0.00043898,0.00043898,0.00043898
4,265.305,1.22333,5.57981,0.00329,0.01043,0.89267,0.25685,0.1714,0.98928,7.65742,0.00369,0.00056763,0.00056763,0.00056763
5,330.858,1.17397,4.93158,0.00339,0.00814,0.98081,0.44081,0.30684,0.94534,7.26081,0.00353,0.00068572,0.00068572,0.00068572
6,396.147,1.18266,4.68773,0.00335,0.98075,0.1293,0.55816,0.38041,1.08253,6.55154,0.00417,0.00079325,0.00079325,0.00079325
7,461.271,1.24347,4.45358,0.00327,0.66616,0.43393,0.66231,0.44267,1.0768,5.93638,0.00422,0.000802,0.000802,0.000802
8,526.063,1.18929,3.99171,0.00335,0.5764,0.57864,0.67971,0.49389,0.99513,5.25606,0.00381,0.000769,0.000769,0.000769
9,590.916,1.13996,3.86181,0.00327,0.64563,0.63258,0.69893,0.48815,1.1102,4.86181,0.00439,0.000736,0.000736,0.000736
10,655.938,1.11178,3.51328,0.0031,0.63087,0.83925,0.81374,0.58426,1.06622,4.27072,0.00416,0.000703,0.000703,0.000703
11,721.012,1.11034,3.32013,0.00312,0.63986,0.78692,0.81748,0.58801,1.07061,4.07316,0.00412,0.00067,0.00067,0.00067
12,785.729,1.11884,3.11358,0.00315,0.59438,0.80684,0.84218,0.60035,1.08832,3.88051,0.00427,0.000637,0.000637,0.000637
13,851.596,1.11861,3.02453,0.0031,0.7157,0.78251,0.84365,0.60977,1.06906,3.57332,0.00402,0.000604,0.000604,0.000604
14,916.94,1.0891,2.76408,0.00311,0.68646,0.84105,0.86027,0.62644,1.04388,3.38812,0.00405,0.000571,0.000571,0.000571
15,982.45,1.05689,2.84228,0.00298,0.63651,0.83978,0.88896,0.65086,1.04661,3.21904,0.00409,0.000538,0.000538,0.000538
16,1048.02,1.06435,2.69127,0.00292,0.7682,0.79183,0.88492,0.63628,1.09317,3.10348,0.00415,0.000505,0.000505,0.000505
17,1113.69,1.06674,2.48262,0.00298,0.74849,0.84922,0.89785,0.63297,1.13391,2.9773,0.00451,0.000472,0.000472,0.000472
18,1178.69,1.08222,2.4399,0.00301,0.76125,0.78409,0.90119,0.66181,1.03776,2.86028,0.00409,0.000439,0.000439,0.000439
19,1241.65,1.08684,2.20743,0.00288,0.768,0.87719,0.90298,0.6575,1.03783,2.7682,0.004,0.000406,0.000406,0.000406
20,1306.75,1.04667,2.31857,0.00307,0.78672,0.83896,0.89665,0.66238,1.02571,2.65985,0.00401,0.000373,0.000373,0.000373
21,1370.96,1.01258,3.06687,0.00336,0.75936,0.82107,0.89771,0.67145,0.9897,2.70087,0.00382,0.00034,0.00034,0.00034
22,1435.43,0.9856,2.97574,0.00333,0.79146,0.86118,0.91197,0.68243,0.99442,2.60007,0.0038,0.000307,0.000307,0.000307
23,1499.76,0.98414,2.87784,0.00326,0.79933,0.83166,0.92023,0.68195,1.00682,2.47782,0.00379,0.000274,0.000274,0.000274
24,1563.9,0.92623,2.74329,0.00316,0.8444,0.77611,0.92505,0.68657,0.99036,2.42063,0.00376,0.000241,0.000241,0.000241
25,1628.23,0.94367,2.70375,0.0031,0.76233,0.86709,0.92481,0.69268,0.96452,2.36366,0.00362,0.000208,0.000208,0.000208
26,1692.28,0.9186,2.65019,0.00314,0.76998,0.8703,0.92017,0.68974,0.95954,2.33867,0.00364,0.000175,0.000175,0.000175
27,1756.98,0.91599,2.57674,0.00307,0.75369,0.87257,0.91448,0.68153,0.96498,2.29506,0.00366,0.000142,0.000142,0.000142
28,1822.14,0.95494,2.57092,0.00318,0.72497,0.89776,0.91997,0.68084,0.96304,2.27437,0.00362,0.000109,0.000109,0.000109
29,1886.35,0.89767,2.50561,0.00292,0.83065,0.79424,0.91861,0.68688,0.97276,2.26341,0.00366,7.6e-05,7.6e-05,7.6e-05
30,1949.28,0.90006,2.47106,0.00301,0.81013,0.81229,0.92039,0.68569,0.97012,2.26757,0.00366,4.3e-05,4.3e-05,4.3e-05
